KR3a0062	項氏家說-宋-項安世
KR6p0016	阿彌陀經句解-元-性澄
KR5i0052	易說--
KR1a0115	易經通注-清-傅以漸
KR5b0246	太上慈悲道場消災九幽懺--葛玄
KR4d0167	龜谿集-宋-沈與求
KR6d0200	千手眼大悲心呪行法-宋-知禮
KR6r0072	法華經持驗記-清-周克復
KR4h0103	新安文獻志-明-程敏政
KR6j0731	十一面神呪心經義疏-唐-慧沼
KR4e0129	醫閭集-明-賀欽
KR2m0004	宋朝事實-宋-李攸
KR6d0237	施食通覽-宋-宗曉
KR5a0221	無上玄元三天玉堂大法--路時中
KR1e0048	張氏春秋集注-宋-張洽
KR6i0573	圓覺經句釋正白-清-弘麗
KR1b0033	書義斷法-元-陳悅道
KR1a0048	周易總義-宋-易祓
KR6i0557	圓覺經大疏釋義鈔-唐-宗密
KR6k0201	舍利懺法-清-繼僧
KR5h0016	太上老君說城隍感應消災集福妙經(護國保寧佑聖王威靈公感應城隍經)--
KR1a0132	周易通論-清-李光地
KR6p0103	念佛百問-清-悟開
KR6m0044	注肇論疏-宋-遵式
KR3a0101	御定資政要覽-清-世祖
KR5c0127	南華真經義海纂微--褚伯秀
KR3g0013	天原發微-宋-鮑雲龍
KR6s0133	高麗國新雕大藏校正別錄-高麗-守其
KR2m0014	欽定續文獻通考-清-嵇璜
